run_id,role,encoder,update,schedule,seed,biored_macro_f1_ex_neg,bc5cdr_macro_f1,bc5cdr_drug_disease_f1,kb_hit_A_setvalued,kb_pmass_B_setvalued,kb_auc_C_setvalued,n_targets_evaluable
PB_BL_FT_T1B_s19,main,BL,FT,T1B,19,0.38173683694304605,0.18719273413418347,0.7407079646017699,0.13580246913580246,0.1503972457923041,0.38459996660309104,162
PB_BL_FT_T1B_s20,main,BL,FT,T1B,20,0.40029811134046883,0.16911140838360567,0.6984695782008212,0.30864197530864196,0.22510181823213596,0.5776412560348123,162
PB_BL_FT_T1F_s01,main,BL,FT,T1F,1,0.3824466141731336,0.22361434088338294,0.859925613061842,0.8271604938271605,0.6111711067539916,0.8477807117029378,162
PB_BL_FT_T1F_s02,main,BL,FT,T1F,2,0.3611312891653117,0.21560985101239,0.8144704158970766,0.7901234567901234,0.4864528396096437,0.8673454240140193,162
PB_BL_FT_T1F_s03,main,BL,FT,T1F,3,0.3552036240704334,0.22113080526703105,0.8508633304067896,0.7098765432098766,0.5266622431119214,0.8642512643050266,162
PB_BL_FT_T1F_s04,main,BL,FT,T1F,4,0.3110845327263331,0.2135630267851852,0.8048994974874372,0.6358024691358025,0.46852987933182444,0.7970944240900861,162
PB_BL_FT_T1F_s05,main,BL,FT,T1F,5,0.37775370970187244,0.22389273834281104,0.8617031444136481,0.6172839506172839,0.4822321175396396,0.7969563377922746,162
PB_BL_FT_T1F_s06,main,BL,FT,T1F,6,0.32838759372686654,0.21820884851253686,0.8322482165664621,0.8024691358024691,0.5361679254730669,0.8674809534944339,162
PB_BL_FT_T1F_s07,main,BL,FT,T1F,7,0.36911352459525215,0.21525094927277416,0.8118433619866284,0.5123456790123457,0.4289155221633314,0.815301379160632,162
PB_BL_FT_T1F_s08,main,BL,FT,T1F,8,0.3401755457395344,0.2246054005853229,0.8710020691693763,0.6481481481481481,0.4714628442817218,0.9057176016157373,162
PB_BL_FT_T1F_s09,main,BL,FT,T1F,9,0.37038466242053586,0.2228753791214026,0.8621063406997049,0.6481481481481481,0.48770428025005613,0.802925518452756,162
PB_BL_FT_T1F_s10,main,BL,FT,T1F,10,0.2930702020609231,0.21212550012337575,0.8015862436683551,0.48148148148148145,0.39795597364269425,0.7689834659257708,162
PB_BL_FT_T1F_s11,main,BL,FT,T1F,11,0.36303516542427505,0.21239646184012706,0.8052411088332293,0.7592592592592593,0.5336020262840054,0.8879649336806581,162
PB_BL_FT_T1F_s12,main,BL,FT,T1F,12,0.35683563974135707,0.22309866752278712,0.8589421436326974,0.6049382716049383,0.5097102532824387,0.8959133337920149,162
PB_BL_FT_T1F_s13,main,BL,FT,T1F,13,0.29039477866547886,0.21415124255243334,0.8106032906764168,0.5555555555555556,0.4207577205990315,0.8296667843550501,162
PB_BL_FT_T1F_s14,main,BL,FT,T1F,14,0.3543912583273994,0.22834562500712768,0.8891292274414662,0.6358024691358025,0.47931429004673215,0.8888326726120751,162
PB_BL_FT_T1F_s15,main,BL,FT,T1F,15,0.32006496679555013,0.21979767518886062,0.8454961106822635,0.8827160493827161,0.5835079793160045,0.9813055272928669,162
PB_BL_FT_T1F_s16,main,BL,FT,T1F,16,0.382308832556384,0.221572596938504,0.8555138526774203,0.7962962962962963,0.5281279826390177,0.9641896068122828,162
PB_BL_FT_T1F_s17,main,BL,FT,T1F,17,0.34778759691271927,0.21873201139572135,0.8311025296985961,0.8703703703703703,0.5735945055163523,0.9286688134066037,162
PB_BL_FT_T1F_s18,main,BL,FT,T1F,18,0.37289950810423367,0.2174414981313259,0.8308723240230089,0.7530864197530864,0.5374793494745433,0.8557366723597142,162
PB_BL_FT_T1F_s19,main,BL,FT,T1F,19,0.3390160491072927,0.2153663402566848,0.8271223001163682,0.8271604938271605,0.5966873376006491,0.899787817723805,162
PB_BL_FT_T1F_s20,main,BL,FT,T1F,20,0.25032648691117954,0.22484367635465513,0.864812317727116,0.4382716049382716,0.41450769817787164,0.7758887934799213,162
PB_BL_FT_T2_s01,main,BL,FT,T2,1,0.39238606957555744,0.21814905686665498,0.8303288399346803,0.8395061728395061,0.6504362248344007,0.893698212745997,162
PB_BL_FT_T2_s02,main,BL,FT,T2,2,0.326576299688758,0.212569107557249,0.7972574562907097,0.7345679012345679,0.5670081812249357,0.9120068805789682,162
PB_BL_FT_T2_s03,main,BL,FT,T2,3,0.3558733779456854,0.21279947515898184,0.8239306358381503,0.8209876543209876,0.6181467519124487,0.921554885900988,162
PB_BL_FT_T2_s04,main,BL,FT,T2,4,0.39107484820553085,0.22125964318998126,0.846927515212662,0.8271604938271605,0.6105032957530506,0.8981384214683497,162
PB_BL_FT_T2_s05,main,BL,FT,T2,5,0.37050675366543195,0.22378351425220752,0.8568088077685038,0.845679012345679,0.7244625354956772,0.8332682826602009,162
PB_BL_FT_T2_s06,main,BL,FT,T2,6,0.3574380735433263,0.2135410550283787,0.7985166872682324,0.6111111111111112,0.42109323182483893,0.8623810105689615,162
PB_BL_FT_T2_s07,main,BL,FT,T2,7,0.40658418416591097,0.22038764511986758,0.8403312788906009,0.6049382716049383,0.5506250143030846,0.764794033023003,162
PB_BL_FT_T2_s08,main,BL,FT,T2,8,0.3598003229842178,0.218293065851889,0.8329199963258933,0.5987654320987654,0.5239041396037656,0.8249597625400461,162
PB_BL_FT_T2_s09,main,BL,FT,T2,9,0.3457448990339208,0.2177856256644711,0.8249455089625557,0.8765432098765432,0.6241621621521506,0.9859812236976591,162
PB_BL_FT_T2_s10,main,BL,FT,T2,10,0.32903158670579485,0.22347713972330174,0.8588575378621253,0.8765432098765432,0.5794397563167653,0.7020081843606222,162
PB_BL_FT_T2_s11,main,BL,FT,T2,11,0.37682153394942697,0.22112368647374694,0.8442147718679103,0.3765432098765432,0.3882409821880297,0.683114426883865,162
PB_BL_FT_T2_s12,main,BL,FT,T2,12,0.37688791578781183,0.21952581501115753,0.8399573052049978,0.8950617283950617,0.6879738282245572,0.9876813916621098,162
PB_BL_FT_T2_s13,main,BL,FT,T2,13,0.3831222731769173,0.22176798331234754,0.8466664499561161,0.7962962962962963,0.6508174807450915,0.8839486081843133,162
PB_BL_FT_T2_s14,main,BL,FT,T2,14,0.31236038785007303,0.21997399905053633,0.8470653411714013,0.808641975308642,0.683594244980522,0.8238994008595657,162
PB_BL_FT_T2_s15,main,BL,FT,T2,15,0.3563520664995338,0.2187159321709371,0.827551998941834,0.7283950617283951,0.5307809808611278,0.9331776177813188,162
PB_BL_FT_T2_s16,main,BL,FT,T2,16,0.37042022339495245,0.21453725401756954,0.8129829025351414,0.8209876543209876,0.6587601474609893,0.8277174438576896,162
PB_BL_FT_T2_s17,main,BL,FT,T2,17,0.3797596578373619,0.22250198524183362,0.8547158574428737,0.8827160493827161,0.8094938468512501,0.5990791650791323,162
PB_BL_FT_T2_s18,main,BL,FT,T2,18,0.40371893919089746,0.21498331493015485,0.8161720533461492,0.7530864197530864,0.577187827337184,0.9181664882565587,162
PB_BL_FT_T2_s19,main,BL,FT,T2,19,0.3753269319300849,0.22650943003654664,0.8782223294238248,0.8395061728395061,0.5676567936290082,0.8111469524055002,162
PB_BL_FT_T2_s20,main,BL,FT,T2,20,0.35273792667468884,0.2188747141308769,0.8416917316309619,0.8827160493827161,0.640125200287676,0.980542769619119,162
PB_PB_FT_T1B_s01,main,PB,FT,T1B,1,0.38460601783437376,0.15682001583402347,0.6231594492464058,0.30246913580246915,0.25537818270795803,0.5071435105835846,162
PB_PB_FT_T1B_s02,main,PB,FT,T1B,2,0.3498802535819297,0.1839120578561927,0.6867922531484814,0.018518518518518517,0.07216976935124415,0.07293001948954148,162
PB_PB_FT_T1B_s03,main,PB,FT,T1B,3,0.38372938915676486,0.18705142261700597,0.7138379760800341,0.018518518518518517,0.06115261474221853,0.06147927797179675,162
PB_PB_FT_T1B_s04,main,PB,FT,T1B,4,0.36066057486991365,0.18102971941827478,0.6597252271743834,0.037037037037037035,0.09023656954781877,0.13032320665190145,162
PB_PB_FT_T1B_s05,main,PB,FT,T1B,5,0.38560962446896474,0.18074000884723135,0.6761120428546397,0.07407407407407407,0.11598615292718427,0.232218008061043,162
PB_PB_FT_T1B_s06,main,PB,FT,T1B,6,0.36383775541882857,0.1665190369254279,0.6428254109284762,0.09259259259259259,0.1592028845082911,0.17546635746624498,162
PB_PB_FT_T1B_s07,main,PB,FT,T1B,7,0.2940773249594969,0.15821037174430347,0.6071911807111328,0.006172839506172839,0.066404632090039,0.02978121129326007,162
PB_PB_FT_T1B_s08,main,PB,FT,T1B,8,0.3455806378859568,0.15833628866151211,0.6076454033771107,0.19753086419753085,0.15570158148931776,0.5053738390102711,162
PB_PB_FT_T1B_s09,main,PB,FT,T1B,9,0.41775366908447625,0.17525573395356842,0.6976791324617412,0.24691358024691357,0.20621124541180003,0.5374407352530701,162
PB_PB_FT_T1B_s10,main,PB,FT,T1B,10,0.39749167108970135,0.16636942649230194,0.6276683571175846,0.05555555555555555,0.13638606706323722,0.12841795100664433,162
PB_PB_FT_T1B_s11,main,PB,FT,T1B,11,0.3901823754236911,0.1750986317838776,0.6948254518445159,0.3395061728395062,0.21176930703079028,0.648952541912444,162
PB_PB_FT_T1B_s12,main,PB,FT,T1B,12,0.409686950682273,0.1797344581245866,0.6860484705542587,0.19753086419753085,0.19049946660676073,0.44278067183285186,162
PB_PB_FT_T1B_s13,main,PB,FT,T1B,13,0.37899750888518735,0.17720672070775317,0.6816675942858658,0.2654320987654321,0.19964570700109038,0.6045107388002526,162
PB_PB_FT_T1B_s14,main,PB,FT,T1B,14,0.40451321028735493,0.17428857978043658,0.7011391270958659,0.22839506172839505,0.20383888716596743,0.5288131294329895,162
PB_PB_FT_T1B_s15,main,PB,FT,T1B,15,0.37280456151668623,0.16608369366784825,0.6395115012997205,0.25308641975308643,0.22696933928980595,0.5210066862214674,162
PB_PB_FT_T1B_s16,main,PB,FT,T1B,16,0.4041173844953825,0.16916874613071087,0.6545863595236349,0.3148148148148148,0.23105384935200915,0.6306338986442039,162
PB_PB_FT_T1B_s17,main,PB,FT,T1B,17,0.39071401093698116,0.17463771326577193,0.6660131031514513,0.037037037037037035,0.07494890005873907,0.11675329562611826,162
